label,a,b,c,m,n,nx,ny,nz,view
Cuboid_AR=1_RES=2x2x2,0.01,0.01,0.01,4,4,2,2,2,xy
Cuboid_AR=1_RES=3x3x3,0.01,0.01,0.01,4,4,3,3,3,xy
Cuboid_AR=1_RES=4x4x4,0.01,0.01,0.01,4,4,4,4,4,xy
Cuboid_AR=1_RES=5x5x5,0.01,0.01,0.01,4,4,5,5,5,xy
Cuboid_AR=2_RES=3x2x2,0.02,0.01,0.01,4,4,3,2,2,xy
Cuboid_AR=2_RES=5x2x2,0.02,0.01,0.01,4,4,5,2,2,xy
Cuboid_AR=2_RES=5x3x3,0.02,0.01,0.01,4,4,5,3,3,xy
Cuboid_AR=4_RES=4x1x1,0.04,0.01,0.01,4,4,4,1,1,xy
Cuboid_AR=4_RES=8x1x1,0.04,0.01,0.01,4,4,8,1,1,xy
Cuboid_AR=4_RES=8x2x2,0.04,0.01,0.01,4,4,8,2,2,xy
Cuboid_AR=4_RES=8x3x3,0.04,0.01,0.01,4,4,8,3,3,xy
Rod_AR=2_RES=2x1x1,0.02,0.01,0.01,4,4,2,1,1,xy
Rod_AR=2_RES=3x1x1,0.02,0.01,0.01,4,4,3,1,1,xy
Rod_AR=2_RES=4x1x1,0.02,0.01,0.01,4,4,4,1,1,xy
Rod_AR=2_RES=5x1x1,0.02,0.01,0.01,4,4,5,1,1,xy
Rod_AR=4_RES=2x1x1,0.04,0.01,0.01,4,4,4,1,1,xy
Rod_AR=4_RES=3x1x1,0.04,0.01,0.01,4,4,6,1,1,xy
Rod_AR=4_RES=4x1x1,0.04,0.01,0.01,4,4,8,1,1,xy
Rod_AR=4_RES=5x1x1,0.04,0.01,0.01,4,4,10,1,1,xy
Rod_AR=8_RES=8x1x1,0.08,0.01,0.01,4,4,8,1,1,xy
Rod_AR=8_RES=10x1x1,0.08,0.01,0.01,4,4,10,1,1,xy
Rod_AR=8_RES=12x1x1,0.08,0.01,0.01,4,4,12,1,1,xy
Rod_AR=8_RES=14x1x1,0.08,0.01,0.01,4,4,14,1,1,xy
Rod_AR=8_RES=16x1x1,0.08,0.01,0.01,4,4,16,1,1,xy
Cylinder_AR=0.25_RES=3x3x1,0.01,0.01,0.0025,2,8,3,3,1,xy
Cylinder_AR=0.25_RES=4x4x1,0.01,0.01,0.0025,2,6,4,4,1,xy
Cylinder_AR=0.25_RES=5x5x1,0.01,0.01,0.0025,2,8,5,5,1,xy
Cylinder_AR=0.5_RES=3x3x2,0.01,0.01,0.005,2,8,3,3,2,xy
Cylinder_AR=0.5_RES=4x4x2,0.01,0.01,0.005,2,8,4,4,2,xy
Cylinder_AR=0.5_RES=5x5x2,0.01,0.01,0.005,2,8,5,5,2,xy
Cylinder_AR=1_RES=3x3x3,0.01,0.01,0.01,2,8,3,3,3,xy
Cylinder_AR=1_RES=4x4x4,0.01,0.01,0.01,2,8,4,4,4,xy
Cylinder_AR=1_RES=5x5x5,0.01,0.01,0.01,2,8,5,5,5,xy
Cylinder_AR=2_RES=3x3x6,0.01,0.01,0.02,2,8,3,3,6,yz
Cylinder_AR=2_RES=4x4x8,0.01,0.01,0.02,2,8,4,4,8,yz
Cylinder_AR=2_RES=5x5x10,0.01,0.01,0.02,2,8,5,5,10,yz
Cylinder_AR=4_RES=3x3x12,0.01,0.01,0.04,2,8,3,3,12,yz
Cylinder_AR=4_RES=4x4x16,0.01,0.01,0.04,2,8,4,4,16,yz
Cylinder_AR=4_RES=5x5x20,0.01,0.01,0.04,2,8,5,5,20,yz
Cylinder_AR=8_RES=3x3x24,0.01,0.01,0.08,2,8,3,3,20,yz


