X,Y,Z,phase_id,diameter,density,U,V,W,usr_var1
0.00928839,-0.0945781,-0.09293118,1,0.01,1000,0,0,0,1
0.01890998,-0.09311124,-0.09506096,1,0.01,1000,0,0,0,1
0.00256912,-0.09488943,-0.07166569,1,0.01,1000,0,0,0,1
0.01056032,-0.09437307,-0.07756232,1,0.01,1000,0,0,0,1
0.00871602,-0.09462382,-0.02361466,1,0.01,1000,0,0,0,1
0.01735026,-0.09336298,-0.02905215,1,0.01,1000,0,0,0,1
-0.01387607,-0.09390903,-0.01945958,1,0.01,1000,0,0,0,1
0.00179933,-0.09496597,-0.00734533,1,0.01,1000,0,0,0,1
-0.00749553,-0.09463981,0.00709992,1,0.01,1000,0,0,0,2
0.00103507,-0.09500788,0.01214618,1,0.01,1000,0,0,0,2
-0.01381667,-0.09392981,0.0777355,1,0.01,1000,0,0,0,2
-0.00455486,-0.09486155,0.07420187,1,0.01,1000,0,0,0,2
0.00106679,-0.09502705,0.08636995,1,0.01,1000,0,0,0,2
0.00609297,-0.09470074,0.0950058,1,0.01,1000,0,0,0,2
-0.01666487,-0.09344988,-0.08639631,1,0.01,1000,0,0,0,1
-0.01170524,-0.09420009,-0.09503174,1,0.01,1000,0,0,0,1
-0.0005363,-0.09500835,-0.09461013,1,0.01,1000,0,0,0,1
0.00448749,-0.08612754,-0.09505771,1,0.01,1000,0,0,0,1
0.01429063,-0.08426838,-0.09500768,1,0.01,1000,0,0,0,1
0.02498787,-0.0837244,-0.09503735,1,0.01,1000,0,0,0,1
0.03358585,-0.08879643,-0.09500823,1,0.01,1000,0,0,0,1
0.03336005,-0.08893015,-0.08208358,1,0.01,1000,0,0,0,1
-0.02640818,-0.0912628,-0.08643593,1,0.01,1000,0,0,0,1
-0.01187497,-0.09420332,-0.07771272,1,0.01,1000,0,0,0,1
0.00323332,-0.09488466,-0.08491626,1,0.01,1000,0,0,0,1
-0.00032181,-0.08435555,-0.07088715,1,0.01,1000,0,0,0,1
0.00921485,-0.08706302,-0.08638042,1,0.01,1000,0,0,0,1
0.01660774,-0.09356995,-0.08542364,1,0.01,1000,0,0,0,1
0.0263123,-0.09130442,-0.08866834,1,0.01,1000,0,0,0,1
0.03104126,-0.08973941,-0.07242586,1,0.01,1000,0,0,0,1
-0.01691666,-0.0934148,-0.06902344,1,0.01,1000,0,0,0,1
-0.00282029,-0.09012092,-0.07856569,1,0.01,1000,0,0,0,1
0.00885728,-0.09467992,-0.06396344,1,0.01,1000,0,0,0,1
0.0239116,-0.0918338,-0.0789696,1,0.01,1000,0,0,0,1
0.0256367,-0.09141387,-0.06422236,1,0.01,1000,0,0,0,1
-0.02370463,-0.0919334,-0.06185162,1,0.01,1000,0,0,0,1
-0.00701513,-0.09469561,-0.06905095,1,0.01,1000,0,0,0,1
0.01736562,-0.09345855,-0.05904503,1,0.01,1000,0,0,0,1
0.0168467,-0.09342434,-0.06984401,1,0.01,1000,0,0,0,1
0.02574388,-0.09142624,-0.05413384,1,0.01,1000,0,0,0,1
