X,Y,Z,phase_id,diameter,density,U,V,W
0.002532,0.1069,0.002444,1,0.005,1000,0,0,0
0.002534,0.1069,-0.002443,1,0.005,1000,0,0,0
-0.00234,0.107,-0.002447,1,0.005,1000,0,0,0
-0.002343,0.107,0.002443,1,0.005,1000,0,0,0
-0.01206,0.1065,-0.002441,1,0.005,1000,0,0,0
-0.01207,0.1066,0.002428,1,0.005,1000,0,0,0
0.00264,0.1066,-0.01219,1,0.005,1000,0,0,0
0.002629,0.1066,0.01219,1,0.005,1000,0,0,0
0.007419,0.1068,-0.007284,1,0.005,1000,0,0,0
0.007414,0.1068,0.007286,1,0.005,1000,0,0,0
0.01223,0.1066,0.002407,1,0.005,1000,0,0,0
0.01223,0.1066,-0.002405,1,0.005,1000,0,0,0
-0.002224,0.1066,0.01216,1,0.005,1000,0,0,0
-0.002212,0.1066,-0.01216,1,0.005,1000,0,0,0
-0.01184,0.106,0.01209,1,0.005,1000,0,0,0
-0.01183,0.106,-0.0121,1,0.005,1000,0,0,0
0.01228,0.106,-0.01198,1,0.005,1000,0,0,0
0.01228,0.106,0.01198,1,0.005,1000,0,0,0
-0.007146,0.1069,0.00728,1,0.005,1000,0,0,0
-0.007141,0.1069,-0.007293,1,0.005,1000,0,0,0
0.002577,0.1072,0.007322,1,0.005,1000,0,0,0
0.002583,0.1072,-0.007321,1,0.005,1000,0,0,0
0.007393,0.1072,0.002437,1,0.005,1000,0,0,0
0.007396,0.1072,-0.002435,1,0.005,1000,0,0,0
-0.007215,0.1073,0.00243,1,0.005,1000,0,0,0
-0.007211,0.1073,-0.002447,1,0.005,1000,0,0,0
-0.002286,0.1074,-0.007324,1,0.005,1000,0,0,0
-0.002292,0.1074,0.00732,1,0.005,1000,0,0,0
-0.01204,0.1069,0.007281,1,0.005,1000,0,0,0
-0.01203,0.1069,-0.007294,1,0.005,1000,0,0,0
-0.00704,0.107,-0.01216,1,0.005,1000,0,0,0
-0.007051,0.107,0.01215,1,0.005,1000,0,0,0
0.01227,0.107,-0.007209,1,0.005,1000,0,0,0
0.01226,0.107,0.00721,1,0.005,1000,0,0,0
0.007476,0.1071,0.01214,1,0.005,1000,0,0,0
0.007484,0.1071,-0.01214,1,0.005,1000,0,0,0
0.01645,0.1091,0.002391,1,0.005,1000,0,0,0
0.01645,0.1091,-0.00239,1,0.005,1000,0,0,0
-0.002244,0.1092,0.01636,1,0.005,1000,0,0,0
-0.002242,0.1092,-0.01637,1,0.005,1000,0,0,0
0.002557,0.1092,-0.01637,1,0.005,1000,0,0,0
-0.01624,0.1092,-0.002411,1,0.005,1000,0,0,0
0.002556,0.1092,0.01637,1,0.005,1000,0,0,0
-0.01624,0.1093,0.002407,1,0.005,1000,0,0,0
-0.01592,0.1088,-0.01199,1,0.005,1000,0,0,0
0.01209,0.1087,-0.01606,1,0.005,1000,0,0,0
0.01209,0.1087,0.01606,1,0.005,1000,0,0,0
-0.01592,0.1088,0.01199,1,0.005,1000,0,0,0
-0.01181,0.1089,0.01613,1,0.005,1000,0,0,0
-0.01181,0.1089,-0.01614,1,0.005,1000,0,0,0
0.01658,0.1093,0.007167,1,0.005,1000,0,0,0
-0.0164,0.1093,-0.007223,1,0.005,1000,0,0,0
0.0163,0.1089,0.01193,1,0.005,1000,0,0,0
0.01658,0.1093,-0.007166,1,0.005,1000,0,0,0
0.01631,0.1089,-0.01193,1,0.005,1000,0,0,0
-0.0164,0.1093,0.00722,1,0.005,1000,0,0,0
-0.00704,0.1093,0.01649,1,0.005,1000,0,0,0
-0.007038,0.1093,-0.01649,1,0.005,1000,0,0,0
0.007351,0.1094,0.01649,1,0.005,1000,0,0,0
0.007352,0.1094,-0.01649,1,0.005,1000,0,0,0
0.01682,0.1095,0.01666,1,0.005,1000,0,0,0
0.01681,0.1095,-0.01666,1,0.005,1000,0,0,0
-0.01655,0.1095,0.01672,1,0.005,1000,0,0,0
-0.01655,0.1095,-0.01672,1,0.005,1000,0,0,0
0.007299,0.1119,-0.007411,1,0.005,1000,0,0,0
0.007299,0.1119,0.007412,1,0.005,1000,0,0,0
0.002367,0.1122,0.007084,1,0.005,1000,0,0,0
0.002367,0.1122,-0.007084,1,0.005,1000,0,0,0
0.007037,0.1122,-0.002469,1,0.005,1000,0,0,0
0.007038,0.1122,0.00247,1,0.005,1000,0,0,0
-0.007537,0.112,0.007446,1,0.005,1000,0,0,0
-0.007536,0.112,-0.007448,1,0.005,1000,0,0,0
-0.007139,0.1123,0.002484,1,0.005,1000,0,0,0
-0.00714,0.1123,-0.002486,1,0.005,1000,0,0,0
-0.002584,0.1123,-0.007086,1,0.005,1000,0,0,0
-0.002584,0.1123,0.007086,1,0.005,1000,0,0,0
-0.01246,0.1118,0.007136,1,0.005,1000,0,0,0
-0.01246,0.1118,-0.007139,1,0.005,1000,0,0,0
-0.007178,0.1119,-0.01243,1,0.005,1000,0,0,0
-0.007179,0.1119,0.01242,1,0.005,1000,0,0,0
0.007059,0.1119,0.0124,1,0.005,1000,0,0,0
0.007059,0.1119,-0.0124,1,0.005,1000,0,0,0
0.01226,0.1122,0.007103,1,0.005,1000,0,0,0
0.01226,0.1122,-0.007103,1,0.005,1000,0,0,0
0.002357,0.1134,-0.002411,1,0.005,1000,0,0,0
0.002358,0.1134,0.002411,1,0.005,1000,0,0,0
-0.01194,0.113,0.002432,1,0.005,1000,0,0,0
-0.01194,0.113,-0.002435,1,0.005,1000,0,0,0
-0.002477,0.1137,-0.002426,1,0.005,1000,0,0,0
-0.002478,0.1137,0.002425,1,0.005,1000,0,0,0
0.002356,0.1132,0.01179,1,0.005,1000,0,0,0
0.002357,0.1132,-0.01179,1,0.005,1000,0,0,0
-0.002516,0.1132,-0.01184,1,0.005,1000,0,0,0
-0.002517,0.1132,0.01184,1,0.005,1000,0,0,0
0.01162,0.1136,0.002434,1,0.005,1000,0,0,0
0.01162,0.1136,-0.002434,1,0.005,1000,0,0,0
-0.01181,0.1133,-0.01173,1,0.005,1000,0,0,0
-0.01181,0.1133,0.01172,1,0.005,1000,0,0,0
0.01961,0.1129,0.002377,1,0.005,1000,0,0,0
0.01961,0.1129,-0.002378,1,0.005,1000,0,0,0
-0.002226,0.113,0.01957,1,0.005,1000,0,0,0
-0.002228,0.113,-0.01957,1,0.005,1000,0,0,0
-0.01953,0.113,-0.002377,1,0.005,1000,0,0,0
0.002533,0.113,-0.01961,1,0.005,1000,0,0,0
-0.01953,0.113,0.002379,1,0.005,1000,0,0,0
0.002536,0.113,0.01962,1,0.005,1000,0,0,0
-0.01902,0.1126,-0.01183,1,0.005,1000,0,0,0
0.01195,0.1126,-0.01915,1,0.005,1000,0,0,0
0.01195,0.1126,0.01915,1,0.005,1000,0,0,0
-0.01903,0.1126,0.01183,1,0.005,1000,0,0,0
0.01154,0.1137,-0.01171,1,0.005,1000,0,0,0
