#version = 1
x,y,z,rel_d,rel_sa,w,e,s,n,t,b,w_na,e_na,s_na,n_na,t_na,b_na,pid
-0.21536604357963487,-0.20171679893560526,-0.13864180648484553,0.12097033496393216,2.69431702e-02,-1,5,-1,17,2,-1,0.00000000e+00,1.60335525e-02,0.00000000e+00,8.94056789e-03,1.63410390e-02,0.00000000e+00,1
-0.22621665879725494,-0.2149258139777291,-0.03205465545013153,0.17429325092782294,4.21841176e-02,-1,6,-1,18,3,1,0.00000000e+00,2.93396303e-02,0.00000000e+00,1.81748417e-02,1.71151854e-02,1.63410390e-02,1
-0.22279571312620913,-0.20610049060307584,0.10857678866270472,0.16160137718636333,3.86915452e-02,-1,7,-1,19,4,2,0.00000000e+00,2.42153685e-02,0.00000000e+00,1.42658929e-02,1.11355119e-02,1.71151854e-02,1
-0.20785584636348278,-0.18314534190227125,0.2334908604941629,0.1115818605171688,2.38839140e-02,-1,8,-1,20,-1,3,0.00000000e+00,1.43832386e-02,0.00000000e+00,5.52075487e-03,0.00000000e+00,1.11355119e-02,1
-0.09433092162555982,-0.22263400973360709,-0.15094782288598765,0.17886700659877774,4.43358180e-02,1,9,-1,21,6,-1,1.60335525e-02,2.13457331e-02,0.00000000e+00,1.56181954e-02,3.31619649e-02,0.00000000e+00,1
-0.09870547832957714,-0.2236607397912701,-0.03431233589323494,0.2060692806606743,2.41263777e-02,2,10,-1,22,7,5,2.93396303e-02,2.81375927e-02,0.00000000e+00,2.33014154e-02,2.85052375e-02,3.31619649e-02,1
-0.09901221860008783,-0.2064469944479518,0.110831806888986,0.1924135988603798,2.44269834e-02,3,11,-1,23,8,6,2.42153685e-02,2.28801597e-02,0.00000000e+00,2.33014131e-02,2.22584132e-02,2.85052375e-02,1
-0.09740209660674892,-0.18499602808918245,0.24851770336965556,0.16808048188582783,3.73004329e-02,4,12,-1,24,-1,7,1.43832386e-02,1.50894739e-02,0.00000000e+00,2.12076932e-02,0.00000000e+00,2.22584132e-02,1
0.06320599397610796,-0.2209652434443388,-0.16179962833816502,0.19116829932533935,4.67850034e-02,5,13,-1,25,10,-1,2.13457331e-02,2.50209175e-02,0.00000000e+00,1.93047712e-02,3.19878368e-02,0.00000000e+00,1
0.05990319660383971,-0.22018809108857657,-0.034372959319250704,0.20337804238604246,2.49458793e-02,6,14,-1,26,11,9,2.81375927e-02,2.69067530e-02,0.00000000e+00,2.33014154e-02,2.71601472e-02,3.19878368e-02,1
0.05935783655429842,-0.2014853652196914,0.1103318491208197,0.1878952877815824,2.47967204e-02,7,15,-1,27,12,10,2.28801597e-02,2.07461133e-02,0.00000000e+00,2.33014131e-02,2.06714027e-02,2.71601472e-02,1
0.055190409045630794,-0.18148555771102984,0.24362030518226052,0.1592310896562424,3.47083719e-02,8,16,-1,28,-1,11,1.50894739e-02,9.92544792e-03,0.00000000e+00,1.96208832e-02,0.00000000e+00,2.06714027e-02,1
0.1855538858898198,-0.21035701356674488,-0.16721051987470217,0.16183125514250246,4.81319721e-02,9,-1,-1,29,14,-1,2.50209175e-02,0.00000000e+00,0.00000000e+00,1.54794124e-02,1.84157415e-02,0.00000000e+00,1
